OBJECTID,Name,Operator,Owner,Address,Is 24 Hours,Car Park Count,Has Carpark Cost,Max Time Limit,Has Tourist Attraction,Latitude,Longitude,Current Type,Date First Operational,Number Of Connectors,Connectors List,Has Charging Cost,GlobalID,x,y
175671,bp charge Horsham downs,BP,bp charge,"36 Horsham Downs Road, Thomas Road, Rototuna North, Hamilton 3210 ",True,2,False,Unlimited,False,-37.730085922321,175.273935579623,DC,5/18/2023 12:00:00 AM,2,"{DC, 75 kW, CHAdeMO, Status: Operative, Count:1},{DC, 75 kW, Type 2 CCS, Status: Operative, Count:1}",True,93d97b90-5158-4127-8095-e0beac49743e,1800388.32105404,5821697.72240177
175672,bp charge Kapiti,BP,bp charge,"108 Kapiti Road, New Zealand",True,2,False,Unlimited,False,-40.907420718089,174.999682634393,DC,4/19/2023 12:00:00 AM,2,"{DC, 75 kW, CHAdeMO, Status: Operative, Count:1},{DC, 75 kW, Type 2 CCS, Status: Operative, Count:1}",True,8ad7cc8a-fe6d-4a6b-b077-9dab36fd509a,1768416.40590391,5469595.07124585
175673,bp charge Larnoch,BP,bp charge,"223 Swanson Road, Henderson, Auckland 0610",True,2,False,Unlimited,False,-36.8637101977115,174.615322001852,DC,3/20/2023 12:00:00 AM,2,"{DC, 75 kW, CHAdeMO, Status: Operative, Count:1},{DC, 75 kW, Type 2 CCS, Status: Operative, Count:1}",True,9389fcd3-7b6c-4fe1-ade5-8c9b87497f3d,1743986.50833766,5919028.70649015
175674,bp charge Levin,BP,bp charge,"59 Oxford Street Horowhenua, Manawatu-Wanganui 5510,",True,2,False,Unlimited,False,-40.6293221410546,175.278570826948,DC,5/25/2023 12:00:00 AM,2,"{DC, 75 kW, CHAdeMO, Status: Operative, Count:1},{DC, 75 kW, Type 2 CCS, Status: Operative, Count:1}",True,b918f987-8a89-4e65-925b-e288f0816707,1792708.67341977,5499894.48418689
175675,bp charge Lincoln Road,BP,bp charge,"136 Lincoln Road Henderson, Auckland",True,4,False,Unlimited,False,-36.8636241059603,174.628481385844,DC,6/22/2023 12:00:00 AM,4,"{DC, 75 kW, Type 2 CCS, Status: Operative, Count:3},{DC, 75 kW, CHAdeMO, Status: Operative, Count:1}",True,9df4b819-a299-4e04-8e73-29655563fced,1745159.76085161,5919018.33094324
175676,bp charge Lunn Ave,BP,bp charge,"110 Lunn Avenue, Mount Wellington, 1072",True,2,False,Unlimited,False,-36.8883767462116,174.831482288989,DC,2/24/2023 12:00:00 AM,2,"{DC, 75 kW, CHAdeMO, Status: Operative, Count:1},{DC, 75 kW, Type 2 CCS, Status: Operative, Count:1}",True,addd8f51-f348-4a0b-8431-e845ae0fb439,1763203.8287166,5915944.20145256
175677,bp charge Mana,BP,bp charge,71 Mana Esplanade Mana ,True,2,False,Unlimited,False,-41.0959327298985,174.868588674799,DC,6/23/2023 12:00:00 AM,2,"{DC, 75 kW, CHAdeMO, Status: Operative, Count:1},{DC, 75 kW, Type 2 CCS, Status: Operative, Count:1}",True,2439f075-79dd-4ad8-a72c-9188088e11a8,1756926.92669516,5448911.04452732
175678,bp charge Mangere,BP,bp charge,"154 Coronation Road, Mangere Bridge, Auckland",True,4,False,Unlimited,False,-36.9536499409804,174.790291049598,DC,7/3/2023 12:00:00 AM,4,"{DC, 75 kW, Type 2 CCS, Status: Operative, Count:2},{DC, 75 kW, CHAdeMO, Status: Operative, Count:2}",True,6a1325f8-a70e-419d-bb72-b5333140ba6d,1759396.951093,5908772.00415333
175679,bp charge Marshlands,BP,bp charge,"432 Marshland Road Marshland, Canterbury 8083, ",True,2,False,Unlimited,False,-43.474401628493,172.659712926354,DC,2/15/2023 12:00:00 AM,2,"{DC, 75 kW, CHAdeMO, Status: Operative, Count:1},{DC, 75 kW, Type 2 CCS, Status: Operative, Count:1}",True,883dee55-2917-477f-9742-77649b1a4f33,1572478.09171066,5186445.28590685
175680,bp charge Massey Road,BP,bp charge,"264 Massey Road Mangere, Auckland 2024, ",True,2,False,Unlimited,False,-36.9600882888764,174.83230521045,DC,6/30/2023 12:00:00 AM,2,"{DC, 75 kW, CHAdeMO, Status: Operative, Count:1},{DC, 75 kW, Type 2 CCS, Status: Operative, Count:1}",True,ce7a5c1e-629d-4d86-96a3-63fd24c2e180,1763124.25789293,5907986.55856872
